date,meeting_date,gardner_inf,gardner_labor,gardner_out,gardner_fin,gardner_mp,gardner_total
2008-03-18,2008-03-18,2.6660573792037785,-0.4804066043489953,0.5622272142077791,-3.242799601070418,-3.783609089815254,0.827416679785455
2008-04-30,2008-04-30,2.173292703486261,-2.320623527083935,-0.6148067564098567,-3.381591153375233,0.2732003726199282,-0.5131148421801581
2008-06-25,2008-06-25,1.9462447638597222,-0.4311496264642907,0.20304186180788983,-4.042869046310756,0.27118089737804923,0.31032276012441434
2008-08-05,2008-08-05,4.397762859297679,-0.4276758300783541,0.8163303572665626,0.41135960694221657,0.2692055971079089,3.1334876323045715
2008-09-16,2008-09-16,3.188022469158034,-0.42428485544113037,0.1910254032892078,0.40813618381388467,0.26727288299528335,2.0075797925112373
2008-10-29,2008-10-29,0.39418727953903127,-0.4209734570387472,-1.713572176072298,-2.5774137039924008,0.26538124515920253,-1.7639607904288308
2009-01-28,2009-01-28,-0.26660844694530067,-1.6960787534017387,-0.927445404413002,-2.840578865140245,-2.6993022973279204,-2.039671827199172
2009-03-18,2009-03-18,-0.2465840445356779,0.9292286873039095,-1.8599926893628254,-0.6477852703761378,0.28711853201209603,-1.5795084972749749
2009-04-29,2009-04-29,0.1712168708860488,-0.40330826755073496,-0.9197233990254776,-0.6328593356443136,0.2851435280190854,-0.8313145027408605
2009-06-24,2009-06-24,-1.1270675843772093,-0.40036319235068385,-0.9925290643271787,-0.705373592839079,0.28320876903716735,-1.626440146045012
2009-08-12,2009-08-12,-1.083858074549857,-0.39748182677949245,-0.6120786381133954,-0.6280618862337122,0.28131290531194925,-1.2661243407021774
2009-09-23,2009-09-23,-1.0553310320911258,-0.3946619029040089,0.2749796601191668,-0.5860795513590231,0.2794546496799073,-0.5322427436419365
2009-11-04,2009-11-04,-1.4137446423957238,-1.6350423325183567,0.2731911392133997,-0.5318373693860347,0.277632773882564,-0.9384114755521538
2009-12-16,2009-12-16,-1.3066078426512062,-0.36853231249768165,0.2714371001600212,0.4981358353259729,0.27584610514270624,-0.4508408804729287
2010-01-27,2010-01-27,-0.9592098784041355,-1.535895207994583,1.0517936845189129,1.4688090183159632,0.2740935229808949,0.3502698025700308
2010-03-16,2010-03-16,-1.0058140193134189,-1.6878743950925559,0.2571996755653009,1.5935554834658199,0.2723739562525743,-0.30251496860794463
2010-04-28,2010-04-28,-1.0255746838857542,-0.32221493257558287,0.9067648969160382,1.6436632381121934,0.2706863803879287,0.4539429186866482
2010-06-23,2010-06-23,-1.551557650598245,-0.3201861919370452,1.3127304958736747,0.42843994784701,0.269029814818281,0.21583551008331633
2010-08-10,2010-08-10,-1.3068317812428698,-1.5486242570321296,0.22961881649781526,-0.5866144389993224,0.2674033205743077,-0.9569136893470243
2010-09-21,2010-09-21,-1.712588903143279,-1.5640117300957848,-0.3489892703496672,-0.6193072294355154,0.26580599804266697,-1.6694686966796919
2010-11-03,2010-11-03,0.23636019092127175,-3.7854853514369315,0.23330490151678848,-0.5416003646101473,0.26423698486883146,-0.4639637375994018
2010-12-14,2010-12-14,-0.1160008146233163,-2.5062724854105554,0.23196364599355396,-0.5835749104561057,0.26269545399499084,-0.4806465591279441
2011-01-26,2011-01-26,-0.11105630548284176,-1.3123548990377962,0.2306452732778444,-0.5908939609994474,0.2611806118228568,-0.2560263362606857
2011-03-15,2011-03-15,0.2589240888395299,-0.1742645822854511,0.7918884279788151,0.46598349224003466,0.25969169649207474,0.8551920816926997
2011-04-27,2011-04-27,0.28987064486699915,-0.17331688761420933,0.8088863337950329,0.4629847802304678,0.2582279762657396,0.8846867064000283
2011-06-22,2011-06-22,0.6603865427981019,-0.17238449213659196,-0.07384748173544962,0.4600433390255199,0.25678874801522356,0.4041805898723628
2011-08-09,2011-08-09,-0.523461540172764,-1.1855495742290076,-0.5688275166648437,0.45715736574740684,0.25537333579717225,-0.8679132046204863
2011-09-21,2011-09-21,-0.8550598819047646,0.7903279657520987,-0.024180028223677527,-0.44147565045926523,0.2539810895161135,-0.4251803222870432
2011-11-02,2011-11-02,-0.883997049606411,0.887154198527331,1.5938975917644072,-0.5365433302803865,0.2526113836666528,0.8184712665612424
2011-12-13,2011-12-13,-1.297578623666038,0.9488071132754937,1.365466749932729,-0.5990864860668779,0.25126361614971715,0.41144374619682733
2012-01-25,2012-01-25,-0.8962458754178013,0.9727258531290562,1.0826261218519397,-0.6263069579344548,0.24993720715774506,0.42244939129781955
2012-03-13,2012-03-13,-0.4806988585840196,2.090377326215663,1.3515108060339647,-0.6066711394360209,0.24863159812412763,1.1144756805761806
2012-04-25,2012-04-25,0.32017378407740016,2.0116654021089646,0.743139087125045,-0.5904976267894902,0.24734625073256397,1.0893515467282466
2012-06-20,2012-06-20,-0.483054536533178,1.7396813501391328,0.41899487750652736,-0.4759749764658741,0.24608064598233545,0.3388821733833919
2012-08-01,2012-08-01,-0.8752758346760137,-1.3096139620359146,-0.4140699753717485,-0.564800601568848,0.2448342833058032,-1.2163499917834446
2012-09-13,2012-09-13,-0.11533804689097818,1.6887211899630927,0.6773435828707013,-0.4569884811015292,-2.6138206069504757,0.5475678290778138
2012-10-24,2012-10-24,0.6111407988680164,1.6732736720859938,0.6767430740438398,-0.461976851295947,-2.542545405002291,0.9634524273318322
2012-12-12,2012-12-12,-0.15891330274454862,4.803989802114159,0.8454252523449476,-0.34857911411529674,0.27795264423924965,1.5737732857136029
2013-01-30,2013-01-30,0.2127267612974125,2.200815025159905,0.8901369846130348,-0.4113238819628802,0.2765750779681601,1.277529699227354
2013-03-20,2013-03-20,0.21357855511437848,2.149762450533644,1.3860872665641863,0.5352623468350234,0.27521780771253246,1.8542280511688594
2013-05-01,2013-05-01,0.5400351905170281,3.606888619003023,1.095845510175099,0.5321472335258446,2.8608991448604213,2.3428017744316962
2013-06-19,2013-06-19,-0.15970332275517451,4.0358844889622585,0.8243932039164571,0.5290859923387294,2.6898671378047987,1.8571987473382912
2013-07-31,2013-07-31,0.8524615753816118,3.7454547601556354,0.5789606302925386,0.5260770859201682,2.5908293817250314,2.17646519917944
2013-09-18,2013-09-18,0.7480844567974838,3.2353897360068626,1.648554902344585,0.5231190377097309,0.18316948731198665,2.6110859811384195
2013-10-30,2013-10-30,0.7627336632920172,3.1358600826535885,1.4228499123630654,0.5202104288813382,0.18234441389449674,2.4051433077396713
2013-12-18,2013-12-18,-0.2208112111933296,3.8374054389351095,1.1121922166659468,0.5173498954706522,4.318070918622429,2.1766905813567785
2014-01-29,2014-01-29,-0.2127257491066763,4.201206078860619,1.3392013009135166,0.5145361256753452,2.106872361297708,2.3295041834250374
2014-03-19,2014-03-19,-1.122273311792838,1.4619606457189298,0.46233809750964866,0.5117678573160783,2.0069158332849257,0.4794187687259058
2014-04-30,2014-04-30,-0.8244442808618252,1.5244053068583594,0.47831958314198003,0.5090438754469995,2.0475637345773796,0.6589862237480598
2014-06-18,2014-06-18,-0.8214829208770239,2.004661162745019,1.1376092091858758,0.5063630101054637,2.021104510075038,1.2710293922648443
2014-07-30,2014-07-30,0.11306525871684836,1.8752676350601798,0.8754443360628112,0.5037241341914818,1.908258936336649,1.4932920255731377
2014-09-17,2014-09-17,0.09583398393449818,1.778579340933368,1.2567792127107091,0.5011261614681515,0.04442000959869255,1.5672330058905442
2014-10-29,2014-10-29,-1.153888030285964,1.9319615711554758,0.9021606927735304,0.4985680446749893,3.912750532802095,1.0889006730486002
2014-12-17,2014-12-17,-2.105864437878729,1.4124093774357793,1.110593269610632,0.4960487737467081,3.6498157743005812,0.6172262188324208
2015-01-28,2015-01-28,-0.8347281565869059,1.6652804037614102,0.7552986157062626,0.4935673741305378,3.9551948697047976,1.092142948198192
2015-03-18,2015-03-18,-1.1835789668723715,1.6114796725499743,-0.2576293909589129,0.49112290519571133,1.8075207203152472,0.03824174750489759
2015-04-29,2015-04-29,-0.8260911725312352,-0.48836600126939406,-0.26536713361270853,0.4887144587292052,1.8420344743222932,-0.48273280624624976
2015-06-17,2015-06-17,-0.8213619718530001,1.6749906119134965,0.777987813123023,0.4863411575122574,1.814269125538398,0.9474857642097034
2015-07-29,2015-07-29,-0.818205713969784,2.7422937953661277,0.7777388043176692,0.48400215397258556,1.7952665203356137,1.3071648788193122
2015-09-17,2015-09-17,-0.07765149048418563,2.515404344691007,0.2352139898485543,-0.5304404792541292,1.683874823366834,1.051082782703383
2015-10-28,2015-10-28,-0.43808762981723315,0.4805082086461307,0.7444943887676412,0.4871398120191565,1.6721819289549018,0.7076811618078382
