,inter_sent_economic_activity_x_gdp,inter_sent_financial_conditions_x_vix,inter_sent_labor_market_x_unemployment_gap,inter_sent_monetary_policy_x_implied_ffr,inter_sent_inflation_x_inflation_dev_from_target,inter_sent_macro_x_cfnai
37,-189068.57756350172,-579.0704999157614,-42.46828618049289,-1.4536775460914222,4.830066701878208,1.8264305425010763
38,-370117.5597355623,-930.1236226091075,-91.13953745732692,-2.3280682042100387,7.2404117139350275,5.025363067639586
39,-140836.54518217503,-425.03335388088493,-25.42101039783154,-1.1001283214706472,3.242149410611643,-1.9594476856494318
40,-218548.2751262186,-125.89135599023113,-32.30705849458506,-1.4197980547975346,6.3578616323977855,-3.198522094991983
41,-84854.57251464829,-22.05455941356026,-16.51474604953283,-0.8112293024013889,2.6717611243401813,1.0711469814514072
42,-284683.8246328977,-357.38702163203095,-39.43753881494855,-1.3494093590371683,1.8893873374415537,-0.5286941130941877
43,-169365.8890660409,-235.27347561521748,-31.02634372603861,-2.557985005711889,6.645982919214096,2.6215733616103245
44,-84168.89108737618,-21.71609034541747,-12.847485902974832,-1.1391555590088513,3.0015405991863995,2.492334449349364
45,-149776.8819724178,-4.77583587818146,-38.502173000064445,-1.355336084299487,3.4457174403354354,0.8093393043243964
46,-188834.47736641733,-222.52259513699502,-11.213008854850102,-1.5624342114274474,2.487487120854487,2.6230444788560416
47,-283291.47495733586,-430.46977364941097,-33.75643000246099,-4.219593819679848,9.28034144455974,-1.7924922501744562
48,-13714.783401354218,-97.41927701834011,-11.163359420058867,-0.8521632012233594,4.802967876059266,1.14369284792391
49,-265240.56577912933,-411.8336605337119,-44.39140968094627,-4.6779691764281575,17.430373961906643,3.462352746747273
50,-139333.63788949355,-185.62284160326953,-20.835608577428648,-1.7848912440847886,8.266590624916889,-1.0619744779427194
51,-74774.41675727023,-294.0336763024409,-16.313346258358255,-2.059469594814438,13.753637946868048,0.2816516346759676
52,37253.81494432241,-205.71808157441222,-9.097556744849284,-0.9946471654324344,7.404726795527312,0.2635523202703068
53,-62077.55242818418,-106.87803075824696,-11.710780444208728,-0.5835848183375262,10.676563353714092,-0.15856391568293837
