t,coef_sent_total,ci_lo_sent_total,ci_hi_sent_total
91,-0.005809474586000479,-0.03161420844381717,0.01999525927181621
92,-0.0035783790907837586,-0.024314954094518944,0.017158195912951427
93,-0.006139387567021766,-0.02997842715959739,0.017699652025553857
94,-0.006076841793117793,-0.030303882302805427,0.01815019871656984
95,-0.006329193665443895,-0.028292249560211806,0.015633862229324016
97,-0.005326395065582055,-0.040143384958334236,0.02949059482717013
98,0.008379875082822296,-0.01950708611153192,0.036266836277176515
99,0.008859083941691095,-0.019661740164637412,0.0373799080480196
100,0.017739667218803823,0.0013772822886618033,0.03410205214894584
101,0.013787370951452013,0.0023106009653102444,0.02526414093759378
102,0.009933258998000283,-0.004803358590078997,0.024669876586079564
103,0.00839417453318585,-0.011716402684147257,0.028504751750518958
104,0.00818670454013827,-0.010151438219652892,0.026524847299929433
105,0.012195937853224165,-0.0034990820438374967,0.027890957750285827
106,0.012829017695497186,-0.004353091810902057,0.03001112720189643
107,0.010538926532098508,-0.004362417351099816,0.025440270415296833
108,0.007845899993127278,-0.004723063883893829,0.020414863870148386
109,0.005547535502192204,-0.007896516833393792,0.018991587837778198
110,0.0010528557170517254,-0.013250827707713008,0.015356539141816459
111,0.0006845678797342478,-0.013934325400293998,0.015303461159762494
112,0.0029058925740372485,-0.010633061738809842,0.01644484688688434
113,0.0024810235084287875,-0.011144344475810234,0.016106391492667807
114,0.0018065029434183866,-0.008470748209578636,0.012083754096415409
115,0.0018865192534621884,-0.00838774472757096,0.012160783234495336
116,0.0020202285678593834,-0.00772587459677726,0.011766331732496027
117,0.0007310625253268456,-0.007794638474889088,0.009256763525542779
118,-0.0028829930647958305,-0.01395040377534717,0.00818441764575551
119,-0.004484953186613225,-0.015809656917537735,0.006839750544311286
120,0.0012356871818745493,-0.022152892922116807,0.024624267285865906
121,-0.0017977968868235217,-0.030334591954985276,0.026738998181338233
122,-0.004448935161622446,-0.03574113876853975,0.02684326844529486
123,-0.0028731079821141536,-0.03617704664508915,0.030430830680860846
124,-0.0055636571051390915,-0.03650432556469668,0.0253770113544185
125,-0.006923128297297333,-0.03885993623875388,0.025013679644159216
126,-0.00990760520765573,-0.039787871237374844,0.019972660822063386
127,-0.00725781229840489,-0.03819693468478021,0.02368131008797043
128,-0.003529275245390706,-0.0328545055917742,0.025795955100992786
129,-0.0037294656499298334,-0.03326954483484876,0.025810613534989087
130,-0.008353455621574433,-0.035469127170488945,0.01876221592734008
