,PC1,PC2,PC3,PC4,PC5
77,-0.479120461948709,0.659023212998606,-0.8144276280957465,-0.1754325864813342,-0.08900809049594069
78,-0.4712012395822627,0.10086317741270155,-0.40023613463532925,-0.2702961770943689,-0.1716717242164478
79,-0.2377022552143021,0.8255292754047441,-0.6411782336494368,-0.299279001834019,-0.27584124898347717
80,-0.3123187899561985,0.787563752909932,-0.9347237233889375,-0.056593556146966914,0.009702993970803316
81,-0.1421729890148033,0.8066600967479172,-0.8132927302627737,-0.14326493268928572,-0.12560698228475023
82,-0.1470488186499956,0.9224098691160203,-1.0024658335477175,0.0410437375017786,0.009480006564440006
83,-0.003475164733660083,0.965277098138146,-0.9644044912545627,0.020663611790950276,-0.0891220683634152
84,-0.011799873470632192,0.9362356726116577,-1.1425001295968114,0.15973231595196596,0.03840286726178018
85,-0.02837461335599874,1.070353822526842,-1.0357238655485723,0.18534552478084665,0.07157433548171575
86,0.06736238954918577,1.0451596834017582,-1.0079029590746187,0.0907610283591191,0.020194603241677496
87,0.1932961890594312,1.0183356949496314,-1.0009567441449432,0.08867431616859091,-0.04003315090445691
88,0.21630277935187422,0.5804734001122439,-0.9312013950271186,0.14994155983190263,0.023752665811802236
89,0.3105638460223771,0.3268408202602887,-0.4621507806786704,0.03924959547773443,-0.1885031335304821
90,0.48378067290598137,0.3615420048335191,-0.5649729454813749,0.05876622701393014,-0.1437710213284765
91,0.6239225339095195,0.7482293710020197,-0.7003108779977785,0.08347035034664783,-0.20277588468111216
92,0.7093682595777705,0.7485480135292807,-0.5538088390475175,0.05119329987628149,-0.15467036517250424
93,0.8261686534993727,0.6538435513493916,-0.6654938897299078,0.09629155261055529,-0.15645864283192548
94,0.8379025727008576,0.3562604280432497,-0.5075411625856785,0.19317778160651555,-0.1301311522823431
95,0.7112324175314554,-0.393246015091664,-0.04651518937627339,0.30466825972523914,-0.1549428213932354
96,0.8182323180745058,0.14797866419554118,-0.5501947077477894,0.39147881977631493,0.005763641030978211
97,0.8568440827341679,0.5684704380279509,-0.7455686823399471,0.4159208344807672,0.08845394452814714
98,0.7684667792626195,0.5751735688732725,-0.711570470514685,0.5097222517726919,0.18954888365021225
99,0.8311582469715415,0.6111874461308267,-0.7646678656822942,0.4372998484381578,0.11903236971072162
100,0.8540900681939446,0.2784445655714351,-0.6992040213693521,0.2700946438889513,0.11764326533475827
101,0.7810649243888369,0.43779980463833534,-0.8734868928428094,0.19363585604817427,0.16613418440685368
102,0.7209737626097168,0.41924864976728415,-1.1414275120666413,-0.05875131195724824,0.18271160131246536
103,0.5076248271087425,0.4248051957255114,-0.9345140946820399,0.021365459547914974,0.2353672215316794
104,0.5463909296264757,0.3286163443643549,-0.7262882930677328,-0.053696215963600344,0.15028239952317296
105,0.0476684374821369,-2.944037595064837,-0.8769991790280495,-0.37490045343946254,0.39950964035798814
106,-0.2905207732057766,-4.620022783467869,0.34976873040632406,-0.40647573925045677,0.17768645951097167
107,-0.21598109343550673,-8.069478036164861,-5.768866376188624,-0.39905236113632037,2.1619585364297014
108,-2.65577713271056,2.1973644268458226,4.262522372369345,0.8737962473912001,1.6283676869267314
109,-2.1928857705955167,1.0243699075952375,2.219371406459684,0.6754142902769001,1.6925024888771956
110,-1.6454404021436204,-0.06313676818957947,1.0416165356313818,0.25039313558545084,0.814500106530269
111,-1.325238734501201,-0.3052104460077948,1.0821007870347268,-0.20962191596724175,0.8316023827401176
112,-1.1299557634782385,0.2950029895150424,0.5275304212318354,-0.2477719585363934,0.7132422467021559
113,-1.4337257177789722,-0.7774947331289707,1.4160081474108905,-0.15490960470770967,0.6319701572738213
114,-1.051587691306905,1.2351430102390952,0.8249989949006677,-0.8466908835620863,0.31829630770503786
115,-0.7923771626286278,0.4149669046711728,0.04076510665508546,-1.1801567532205626,0.3183111407650554
116,-0.46987466050839316,0.3532497443230994,0.3141576998108038,-1.5747112197868225,0.0667125602434018
117,-0.39689296398453944,0.47449848053892707,0.5735826562482391,-1.7199817789898093,-0.08292464882986336
118,-0.027247195237025672,-0.13964044919542123,0.41082447530848504,-2.064843490871009,-0.23678096705101812
119,0.37835971039675187,0.5633247698702996,0.4050074895382046,-2.466762766415208,-0.5186012307760925
120,0.6622392141692359,-0.00797589112203318,0.4311622208630137,-2.467267789222957,-0.7014526867563106
121,0.8797220436902232,-1.1768718651203862,1.1986302012700136,-2.4531809135813285,-1.0119417891012434
122,1.3829441347986826,-0.653590704595947,1.229865836563573,-2.728820089641584,-1.1542642104936853
123,1.4284611482974225,-0.795038906915108,0.6518830409603327,-2.1131923077946784,-0.6880429685915452
124,1.5168332513677762,-1.0579914189821404,0.9582898522655019,-1.8337876986333619,-0.6920194002707396
125,2.0037479104541753,-0.3792943410976991,0.8113969262041101,-1.4900039821198934,-0.7073417627217296
126,2.2515689075167353,-0.8799668814347987,1.1632394436180895,-1.3440324581462277,-0.6974045848934353
127,3.049905569964518,-1.0018857212476997,0.9821249210457047,-0.9748337375842748,-0.629048731786312
128,3.0892923512708195,-0.5324020972872535,0.7243277966813095,-0.6394464704884385,-0.4068759709347782
129,3.275460080867136,-0.21926334949393153,0.4293375391264522,-0.297987476053174,-0.1853294811644477
130,3.4065424748779387,-0.6204536086794915,0.8657462994572716,-0.4722417019139479,-0.40430429160213344
