t,date,y,yh_m,yh_b,loss_diff,cum_loss_diff,regime
114,2021-04-28,-0.030000000000000027,-0.0010647722583166461,0.048713191432608216,0.005358519101043348,0.5361705438624875,C_zlb
115,2021-06-16,-0.05999999999999983,-0.14619452511386669,0.05191922411755944,0.00509641656747144,0.5412669604299589,C_zlb
116,2021-07-28,0.07999999999999985,0.052900872572723995,0.0363948778826196,0.0011670439675519097,0.5424340043975109,C_zlb
117,2021-09-22,-0.040000000000000036,0.03263040459449018,0.04619756321566775,0.0021548442327597,0.5445888486302706,C_zlb
118,2021-11-03,0.7000000000000002,0.15196028300199266,0.09177599356874061,0.0695889105920367,0.6141777592223072,C_zlb
119,2021-12-15,0.95,0.3109382336963228,0.19295887261386255,0.16471132740289823,0.7788890866252054,C_zlb
120,2022-01-26,0.41000000000000003,0.4023690801898494,0.265710768130016,0.020761151496481074,0.7996502381216865,C_zlb
121,2022-03-16,0.56,0.7074652582818601,0.3657304340227401,0.015994661864857262,0.8156448999865438,D_hiking
122,2022-05-04,0.43999999999999995,0.5488715275374004,0.2839515899899695,0.01249809675833162,0.8281429967448753,D_hiking
123,2022-06-15,0.47,0.3339020584537944,0.2304475014979701,0.03886274984545063,0.867005746590326,D_hiking
124,2022-07-27,0.8800000000000001,0.36502322327927306,0.2255721532239797,0.16307472607422885,1.030080472664555,D_hiking
125,2022-09-21,1.2199999999999998,0.4556112012885017,0.23126658383451923,0.3933035326466541,1.423384005311209,D_hiking
126,2022-11-02,0.31999999999999984,0.4846941791522907,0.2729235047180936,-0.024907976238619532,1.3984760290725895,D_hiking
127,2022-12-14,0.47000000000000064,0.4208814884091117,0.21562229434137323,0.062295388955242975,1.4607714180278324,D_hiking
128,2023-02-01,0.08000000000000007,0.2785394432206577,0.17759548989294738,-0.029893030866924363,1.430878387160908,D_hiking
129,2023-03-22,0.40999999999999925,0.35647954032499274,0.2043217810650114,0.0394390901404448,1.470317477301353,D_hiking
130,2023-05-03,0.020000000000000462,0.19314139177558706,0.208267737149198,0.005466799305292168,1.4757842766066451,D_hiking
131,2023-06-14,0.040000000000000036,0.23283835864118796,0.15399603721639168,-0.02419153606238647,1.4515927405442586,D_hiking
132,2023-07-26,0.20999999999999996,0.18169779831557012,0.19238141259237468,-0.0004905999979460114,1.4511021405463125,D_hiking
133,2023-09-20,0.0,0.011377579989070422,0.05420561849191611,0.002808799749683462,1.453910940295996,E_peak_cuts
134,2023-11-01,0.0,0.22786700308685248,0.029435128766192965,-0.05105694429030128,1.4028539960056947,E_peak_cuts
135,2023-12-13,0.0,0.03993134403027869,0.001413859824473375,-0.0015925132364612137,1.4012614827692336,E_peak_cuts
136,2024-01-31,0.0,-0.15255730322346486,-0.07410022712608982,-0.017782887106678105,1.3834785956625555,E_peak_cuts
137,2024-03-20,0.0,-0.055532074369895226,-0.09839844904741935,0.006598443491114006,1.3900770391536694,E_peak_cuts
138,2024-05-01,0.0,0.0425049491844145,-0.07167404970388046,0.003330498695784668,1.3934075378494541,E_peak_cuts
139,2024-06-12,0.0,-0.13530287509761516,-0.0585207360321765,-0.014882191463933166,1.378525346385521,E_peak_cuts
140,2024-07-31,-0.20000000000000018,-0.1306448526258938,-0.03614658798707328,0.022037804160993966,1.4005631505465148,E_peak_cuts
141,2024-09-18,-0.4900000000000002,-0.2639782524541337,-0.09100753815651012,0.10810915424424147,1.5086723047907562,E_peak_cuts
142,2024-11-07,-0.15999999999999925,-0.25164631978896096,-0.018931259752644536,0.011501341544115003,1.5201736463348712,E_peak_cuts
143,2024-12-18,-0.15000000000000036,-0.2982186775318307,-0.03703783126097711,-0.009208324803061142,1.51096532153181,E_peak_cuts
144,2025-01-29,0.0,-0.19283045844802296,-0.07339131145338565,-0.03179730110842686,1.479168020423383,E_peak_cuts
145,2025-03-19,0.0,0.021889024488210534,-0.07594049762804395,0.005287829786949467,1.4844558502103324,E_peak_cuts
146,2025-05-07,0.0,-0.15872796310290038,-0.05479877570897877,-0.022191660451592744,1.4622641897587396,E_peak_cuts
147,2025-06-18,0.0,-0.1312780647434161,-0.05033564141500159,-0.014700253486116928,1.4475639362726227,E_peak_cuts
148,2025-07-30,-0.11000000000000032,-0.0029034308256917045,-0.013467764462655935,-0.0021512026310701367,1.4454127336415525,E_peak_cuts
149,2025-09-17,-0.1299999999999999,-0.19820759229678908,0.002601872915718173,0.012930981053831227,1.4583437146953837,E_peak_cuts
150,2025-10-29,-0.36999999999999966,-0.17410816083679753,0.03728526926053709,0.12750767790588607,1.5858513926012698,E_peak_cuts
