t,date,y,yh,yh_b,hi_flag_elevated_wid,hi_flag_skew_up,hi_flag_skew_down,loss_diff_flag_elevated_wid,loss_diff_flag_skew_up,loss_diff_flag_skew_down
89,2018-05-02,0.1200000000000001,-0.007255919843316663,0.13713582817434095,True,False,False,-0.01590043252794813,-0.01590043252794813,-0.01590043252794813
90,2018-06-13,0.08999999999999986,0.06498566952697818,0.1463704118132875,False,False,True,0.0025519065989860978,0.0025519065989860978,0.0025519065989860978
91,2018-08-01,0.040000000000000036,0.06077702700388225,0.17135751366642926,False,False,False,0.01682311154550609,0.01682311154550609,0.01682311154550609
92,2018-09-26,0.2500000000000002,0.07522635350276471,0.14277510819836162,False,True,False,-0.019048650088067536,-0.019048650088067536,-0.019048650088067536
93,2018-11-08,0.06999999999999984,0.02280712757154579,0.1388698839003789,True,True,False,0.0025158937004033538,0.0025158937004033538,0.0025158937004033538
94,2018-12-19,0.1299999999999999,-0.0018263911574212602,0.08328188618742786,True,False,True,-0.015195615247384971,-0.015195615247384971,-0.015195615247384971
95,2019-01-30,0.010000000000000231,0.04512462466169747,0.10718323757015723,False,False,False,0.008210842406992465,0.008210842406992465,0.008210842406992465
96,2019-03-20,-0.020000000000000018,-0.0025486563960474135,0.12177566236262544,True,False,True,0.019795789044777957,0.019795789044777957,0.019795789044777957
97,2019-05-01,-0.010000000000000231,0.07036265671035397,0.10239820994613508,True,False,False,0.0061752010055492745,0.0061752010055492745,0.0061752010055492745
98,2019-06-19,0.020000000000000018,-0.05728434569643653,0.09731256893408742,True,False,True,4.363225461705145e-06,4.363225461705145e-06,4.363225461705145e-06
99,2019-07-31,-0.3599999999999999,0.0037371006484630404,0.10449183077096344,True,False,True,0.0834479824648112,0.0834479824648112,0.0834479824648112
100,2019-09-18,-0.20999999999999996,0.06281313222390314,0.07939380878113284,False,False,True,0.009321771447034,0.009321771447034,0.009321771447034
101,2019-10-30,-0.28,0.04690127739532652,0.08699156512113825,True,False,True,0.027818363707366442,0.027818363707366442,0.027818363707366442
102,2019-12-11,0.0,-0.02480420820609261,0.052381172876944264,False,False,True,0.0021285385272331297,0.0021285385272331297,0.0021285385272331297
103,2020-01-29,-0.9,0.00829491152280595,0.05952973673878238,False,False,False,0.09569766938777513,0.09569766938777513,0.09569766938777513
104,2020-03-03,0.0,-0.2982339990766901,-0.21276490102428075,False,False,False,-0.04367461509740323,-0.04367461509740323,-0.04367461509740323
105,2020-03-15,-0.15000000000000002,-0.3656757780173682,-0.23765452963537637,False,False,False,-0.038832724657798016,-0.038832724657798016,-0.038832724657798016
106,2020-04-29,-0.09999999999999998,-0.11217625868253228,-0.4425674883280072,False,False,True,0.11720422278385541,0.11720422278385541,0.11720422278385541
