date,meeting_date,doc_type,speaker_types,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
2003-01-29,2003-01-29,speech,{'unknown'},0.00714086988778633,0.0028748956691087824,0.004265974218677548,3.949976128405137e-05
2003-03-18,2003-03-18,speech,{'unknown'},0.008479311936635973,0.0025996744332952696,0.005879637503340703,1.2893941893291015e-05
2003-05-06,2003-05-06,speech,{'unknown'},0.00931098696461825,0.002286909079029044,0.007024077885589205,1.9786134888983677e-05
2003-06-25,2003-06-25,speech,{'unknown'},0.010158262789841737,0.001840264998159735,0.008317997791682002,2.5515330649331295e-05
2003-08-12,2003-08-12,speech,{'unknown'},0.008736514660136342,0.0013899000595671454,0.007346614600569197,4.801708889260913e-05
2003-09-16,2003-09-16,speech,{'unknown'},0.010561423012784881,0.0012506948304613673,0.009310728182323513,0.00010953797861557073
2003-10-28,2003-10-28,speech,{'unknown'},0.007746631116235497,0.0018375729624558622,0.005909058153779636,2.2214504337517425e-05
2003-12-09,2003-12-09,speech,{'unknown'},0.007230455798346183,0.002716414333080334,0.004514041465265849,1.8128680583396985e-05
2004-01-28,2004-01-28,speech,{'unknown'},0.007354293068578783,0.003088803088803089,0.004265489979775694,1.5019330914703149e-05
2004-03-16,2004-03-16,speech,{'unknown'},0.008268084609091972,0.004820614701414047,0.0034474699076779245,7.695245329638225e-06
2004-05-04,2004-05-04,speech,{'unknown'},0.008429171862731514,0.002170800424922636,0.006258371437808877,1.3634796160803655e-05
2004-06-30,2004-06-30,speech,{'unknown'},0.008465367801278649,0.0021226593889773332,0.006342708412301316,1.5137728907640373e-05
2004-08-10,2004-08-10,speech,{'unknown'},0.009111142022534428,0.004312143552649882,0.004798998469884546,2.4865277046033917e-05
2004-09-21,2004-09-21,speech,{'unknown'},0.007499318243796019,0.00109080992637033,0.006408508317425688,0.0001017223542448522
2004-11-10,2004-11-10,speech,{'unknown'},0.0070066740129322,0.0017464706738466017,0.005260203339085598,1.2494544748421848e-05
2004-12-14,2004-12-14,speech,{'unknown'},0.010964504738896116,0.0019822833426252867,0.008982221396270829,4.297713586732454e-05
2005-02-02,2005-02-02,speech,{'unknown'},0.00815919495943067,0.0052128190018584835,0.0029463759575721863,9.98771511041419e-06
2005-03-22,2005-03-22,speech,{'unknown'},0.009124030766356305,0.0027403232335814157,0.006383707532774889,1.675513788129892e-05
2005-05-03,2005-05-03,speech,{'unknown'},0.006783906486458279,0.0014350571413661744,0.005348849345092104,1.6980474111403508e-05
2005-06-30,2005-06-30,speech,{'unknown'},0.010093331644072808,0.001921533848557794,0.008171797795515013,1.4361683296159952e-05
2005-08-09,2005-08-09,speech,{'unknown'},0.006257332811888932,0.0007821666014861165,0.005475166210402816,0.00030417590057793423
