date,meeting_date,doc_type,speaker_types,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
2010-12-14,2010-12-14,speech,{'unknown'},0.22270771059935368,0.4535874658662562,0.13725950162819103,-0.6170427599597829
2011-01-26,2011-01-26,speech,{'unknown'},-0.09280782790012711,-0.04040330290511332,-0.1101747398951494,-0.42797555535251885
2011-01-26,2011-01-26,statements,,-0.371400948778475,-0.4107390998540185,-0.35209528580410726,1.1086252528248577
2011-01-26,2011-03-15,minutes,,-0.1405970992272302,-0.3943369328000734,-0.04811715629750257,1.0059009243092243
2011-03-15,2011-03-15,speech,{'unknown'},0.3493235818922416,0.42727013464863917,0.31653504416429745,-0.36576036295867914
2011-03-15,2011-03-15,statements,,-0.376864627629636,-0.4112601034869658,-0.35921581031233346,1.1031149474724453
2011-03-15,2011-04-27,minutes,,-0.17372498426800279,-0.3326500351883082,-0.11454447992982103,0.5767796585050629
2011-04-27,2011-06-22,minutes,,-0.2271532532713317,-0.3008111621435848,-0.1976226694332301,0.20868135948884695
2011-04-27,2011-04-27,press_conferences,,-0.0775058272522798,-0.23782017543707556,-0.01918353317107915,0.3145108035783632
2011-04-27,2011-04-27,statements,,-0.38045764093049006,-0.40913965671649727,-0.364774253299991,1.0994994504359834
2011-04-27,2011-04-27,speech,{'unknown'},0.46463618594018996,0.8276016437401065,0.3284267151984633,-0.6811206393098067
2011-06-22,2011-08-09,minutes,,-0.2653481196394797,-0.23945392939654353,-0.27077394312932984,-0.45662795906880366
2011-06-22,2011-06-22,speech,{'unknown'},1.249845105931039,1.6898098699218833,1.074606094511522,-0.5386233001389895
2011-06-22,2011-06-22,press_conferences,,-0.21090445961555546,-0.13513339402054353,-0.2350019481999549,-0.6467347721400786
2011-06-22,2011-06-22,statements,,-0.3983992266308418,-0.401019719664277,-0.391668626301568,-0.19671114095348713
2011-08-09,2011-08-09,statements,,-0.4017158576690758,-0.40014666431876256,-0.39644228889625155,-0.5233984659549502
2011-08-09,2011-09-21,minutes,,-0.27517340281472347,-0.2579315977478776,-0.2773587171316596,-0.40790171556810156
2011-08-09,2011-08-09,speech,{'unknown'},-0.30819289616952517,-0.19448833814314648,-0.34447791615720863,-1.2363852168121403
2011-09-21,2011-09-21,statements,,-0.38743179742221007,-0.4147703237174493,-0.3720077729875165,1.1222120887191684
2011-09-21,2011-11-02,minutes,,-0.192945608289995,-0.22444622423474725,-0.17885453463233966,-0.11081018500608307
2011-09-21,2011-09-21,speech,{'unknown'},0.07313083086767187,0.40852061122972244,-0.04814777683621396,-0.923628364366604
2011-11-02,2011-11-02,statements,,-0.3960179519363986,-0.41591445069613636,-0.3830965852126547,1.1236930867899884
2011-11-02,2011-12-13,minutes,,-0.21320816987220567,-0.2088187242913259,-0.21166782523645916,-0.3026884663857386
2011-11-02,2011-11-02,press_conferences,,-0.1152976536113738,-0.12897348120494007,-0.10871013618857633,-0.22241663536799086
2011-11-02,2011-11-02,speech,{'unknown'},0.5729271610962801,1.2084023800549646,0.3366986066390273,-0.8859722398347837
2011-12-13,2011-12-13,speech,{'unknown'},0.1633399249464596,0.7417797725384919,-0.047020577316572165,-1.1722289607320047
2011-12-13,2012-01-25,minutes,,-0.2331157526973841,-0.3108932159033373,-0.20157558919006774,0.2103720577485105
2011-12-13,2011-12-13,statements,,-0.39482114714943556,-0.42189099880313824,-0.37905703310840694,1.1331141856837832
2012-01-25,2012-03-13,minutes,,-0.1290476424365667,-0.32519502038393133,-0.05649409316093537,0.5867994442237963
2012-01-25,2012-01-25,speech,{'unknown'},0.17942219843566232,0.395154378029772,0.09903239269442404,-0.6434018726971732
2012-01-25,2012-01-25,statements,,-0.3912739039875881,-0.42255943393464845,-0.374015139727101,1.1311957400683454
2012-01-25,2012-01-25,press_conferences,,-0.02110926201071037,-0.16501937819532153,0.031028269821253368,0.14855978333637687
2012-03-13,2012-03-13,statements,,-0.39539739317091915,-0.42182340667047125,-0.3798194589218467,1.128066004521285
2012-03-13,2012-03-13,speech,{'unknown'},-0.11450770882825691,-0.21175012929099726,-0.07773727633009583,0.08820698805558269
2012-03-13,2012-04-25,minutes,,-0.18768570096225348,-0.30807972136127765,-0.1414527536905724,0.3526623548954106
2012-04-25,2012-04-25,press_conferences,,-0.06627894337826942,-0.06531439047536744,-0.06560923346029214,-0.29085157426114067
2012-04-25,2012-06-20,minutes,,-0.19177387702316206,-0.3724932976534663,-0.12374385686165516,0.7662071385841561
2012-04-25,2012-04-25,speech,{'unknown'},0.46371234670060774,1.4585754317515907,0.09820107184416675,-1.290604997757526
2012-04-25,2012-04-25,statements,,-0.3931503917851185,-0.42457353910145845,-0.37541415718543963,1.1298662302713636
2012-06-20,2012-08-01,minutes,,-0.14871388275314848,-0.35895436521812857,-0.07028478100566081,0.7232072221714096
2012-06-20,2012-06-20,speech,{'unknown'},0.27430622871181554,0.46863479038475314,0.19956967423194616,-0.5832578836578296
2012-06-20,2012-06-20,press_conferences,,-0.18455309484804405,-0.19799429581364913,-0.17668682166074767,-0.24193296148455073
2012-06-20,2012-06-20,statements,,-0.3897370852588123,-0.4253148453298299,-0.3705235025925369,1.1298103618258002
2012-08-01,2012-09-13,minutes,,-0.22257791104448332,-0.24532739539559245,-0.21072642867818128,-0.18228703385371728
2012-08-01,2012-08-01,speech,{'unknown'},-0.033586133936018774,-0.2122653961565713,0.03160815821968479,0.2695948616995182
2012-08-01,2012-08-01,statements,,-0.38939616544821176,-0.4242798958249533,-0.37042995866375406,1.1287843198408885
2012-09-13,2012-09-13,press_conferences,,0.0029331528326618675,-0.2925566423274499,0.10981236770395761,0.6109338998723154
2012-09-13,2012-09-13,statements,,-0.3672727672250151,-0.4231090073925344,-0.34105757507858153,1.123609686480612
2012-09-13,2012-09-13,speech,{'unknown'},-0.022318785300726972,-0.17615430061032197,0.03372641232806982,0.16505818475618964
2012-09-13,2012-10-24,minutes,,-0.12838481629039042,-0.24159151015991237,-0.08530597184777444,0.16477627281922683
2012-10-24,2012-10-24,speech,{'unknown'},0.319082648332845,0.9439994478180401,0.08763812471693205,-1.1031265787985276
2012-10-24,2012-10-24,statements,,-0.368900562128712,-0.4254398064772867,-0.34224163592777235,1.125169479206323
2012-10-24,2012-12-12,minutes,,-0.19500302014874335,-0.39164008475912393,-0.1204529165598107,0.8682660639042787
2012-12-12,2013-01-30,minutes,,-0.2035674365454887,-0.30835264188660455,-0.16216154473010827,0.28114691092575883
2012-12-12,2012-12-12,statements,,-0.3680672682104608,-0.4235370671019974,-0.34178827664316974,1.1193485247453172
2012-12-12,2012-12-12,press_conferences,,0.04308548209450198,-0.19093657246353563,0.1272503075175946,0.3195080070264262
2012-12-12,2012-12-12,speech,{'unknown'},0.5345985829142461,0.6384981689198042,0.4879409821032992,-0.43045975795098984
2013-01-30,2013-01-30,speech,{'unknown'},-0.2360696550620202,0.03950184449487803,-0.33209777289110365,-1.571541877948473
2013-01-30,2013-01-30,statements,,-0.37457915178054346,-0.4260700928121171,-0.34959602043487026,1.121146538015435
2013-01-30,2013-03-20,minutes,,-0.07773123509735988,-0.22549125974803805,-0.02281488780015483,0.21275798179609062
2013-03-20,2013-03-20,statements,,-0.37873659559266754,-0.4251861272167755,-0.3555045299643929,1.1181121258199553
2013-03-20,2013-03-20,speech,{'unknown'},1.1746957770819904,2.7309592854928986,0.5901974670500995,-1.2187764788615292
2013-03-20,2013-03-20,press_conferences,,-0.062210204513620374,0.29840759047382864,-0.1933837681155248,-1.2446341174057112
2013-03-20,2013-05-01,minutes,,-0.17023492436268667,-0.2813416785103618,-0.12625343216519974,0.20596986667304581
2013-05-01,2013-05-01,speech,{'unknown'},0.7460082052709871,1.6582782090400408,0.39711544864315357,-1.0704325707460491
2013-05-01,2013-05-01,statements,,-0.3846611243250915,-0.43407499264766886,-0.35895379162791846,1.1243027145494482
2013-05-01,2013-06-19,minutes,,-0.1850225284002624,-0.35051530248539403,-0.12042001163842625,0.5516782743859119
2013-06-19,2013-07-31,minutes,,-0.14849556288726082,-0.2836078647657279,-0.09579077326556382,0.26833261856139956
2013-06-19,2013-06-19,press_conferences,,-0.021269111922597415,-0.34951448598109774,0.10016647081889311,0.7665400765604301
2013-06-19,2013-06-19,speech,{'unknown'},0.4693483913377501,0.6814979588842343,0.38191777665983606,-0.5829476101300709
2013-06-19,2013-06-19,statements,,-0.38656554446723224,-0.43448746367405516,-0.361298054010322,1.1218938679977732
2013-07-31,2013-09-18,minutes,,-0.19460731376190157,-0.28379723751914754,-0.15788040163612382,0.12419606188366603
2013-07-31,2013-07-31,statements,,-0.38585134510445634,-0.4334276661078757,-0.3607228503444684,1.1192943308540182
2013-07-31,2013-07-31,speech,{'unknown'},0.2541948744129911,0.41902775322003516,0.18837842696734675,-0.5955707512519565
2013-09-18,2013-09-18,statements,,-0.3773621280820366,-0.43447735172438573,-0.3488690499122018,1.118358605914271
2013-09-18,2013-09-18,press_conferences,,-0.02865723557201047,-0.24953026816606136,0.053441464659178144,0.36478803263013404
2013-09-18,2013-10-30,minutes,,-0.20290325168773937,-0.26589143171532886,-0.17565734618168552,-0.011200828965656717
2013-10-30,2013-10-30,statements,,-0.38172111263477915,-0.43335332817018385,-0.3551483823612886,1.116615933953591
2013-10-30,2013-10-30,speech,{'unknown'},0.47441388477819124,0.7273409552078729,0.37169148499703686,-0.6418376024150537
2013-10-30,2013-12-18,minutes,,-0.18954786510276392,-0.4014442371682112,-0.10752419566217851,0.8695595487380859
2013-12-18,2013-12-18,press_conferences,,-0.037072973897708715,-0.11439575768729413,-0.007766647071289956,-0.11202699383240898
2013-12-18,2014-01-29,minutes,,-0.15709700822100983,-0.28291188402074574,-0.10749936710455127,0.23080487868071722
2013-12-18,2013-12-18,statements,,-0.38811852370087124,-0.43448609517500464,-0.36331280491977835,1.1164455525603925
2013-12-18,2013-12-18,speech,{'unknown'},0.5434133697108148,0.513418380380591,0.54376665567183,-0.31147068464576433
2014-01-29,2014-03-19,minutes,,-0.15768161640177966,-0.2664101528667142,-0.11438298373610162,0.14378889328919803
2014-01-29,2014-01-29,statements,,-0.38958311631334164,-0.4355395225650784,-0.36490417790574786,1.1163412279878027
2014-01-29,2014-01-29,speech,{'unknown'},-0.22156522514316906,-0.26501399368116046,-0.2011304941349856,-0.10289704967965072
2014-03-19,2014-03-19,press_conferences,,-0.14673764732865044,-0.29859382082810854,-0.0877025615428607,0.33548896640894577
