date,meeting_date,doc_type,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
2007-08-07,2007-09-18,minutes,0.054279937861970995,2.78160130098665,-0.7216291607205866,-2.0326439198836637
2007-09-18,2007-10-31,minutes,-0.16772518218281562,2.7395976888651616,-0.9999197191917465,-2.2162124830293677
2007-10-31,2007-12-11,minutes,0.1724206824342742,2.6912602799267282,-0.7690969312654203,-1.987935395338897
2007-12-11,2008-01-30,minutes,1.1984523209520126,2.113082175181497,0.24773796802036732,-1.2051706402443663
2008-01-30,2008-03-18,minutes,0.5857449278487855,1.1923174639999825,0.04114785504076444,-0.8720897614919512
2008-03-18,2008-04-30,minutes,-0.8036162091024079,1.3989507716365024,-1.2972266430493722,-1.7834544771934682
2008-04-30,2008-06-25,minutes,0.13922758319447084,1.3396697841766718,-0.4317101450739057,-1.148388979625436
2008-06-25,2008-08-05,minutes,2.2461224869463305,3.4794450031961053,0.5041167760721662,-1.5327772551364478
2008-08-05,2008-09-16,minutes,-0.040128371892709847,1.8932061141568826,-0.9648662157684011,-1.7744562809468005
2008-09-16,2008-10-29,minutes,-0.603089354078741,0.5455907155202417,-0.8355727485873496,-0.9234122881421275
2008-10-29,2008-12-16,minutes,0.8856256846523767,4.072305199224087,-1.236733228027728,-2.4686412150319637
2008-12-16,2009-01-28,minutes,1.6639538502900866,1.7720851154782336,0.4703767796080847,-1.0498517106194236
2009-01-28,2009-03-18,minutes,4.602480119329957,0.48415956041189834,4.04334036646449,0.3215541488996862
2009-03-18,2009-04-29,minutes,0.477119418171833,0.9961535375289563,-0.04820528133305249,-0.8592345340196129
2009-04-29,2009-06-24,minutes,0.19337015778926847,0.28030033703912116,0.04330979434278569,-0.3356104933630444
2009-06-24,2009-08-12,minutes,2.058426298172274,2.2025179777532196,0.8712732561783124,-1.0284406783508941
2009-08-12,2009-09-23,minutes,1.4913023878042144,1.0570699973583864,0.9463674443069929,-0.5222510224434073
2009-09-23,2009-11-04,minutes,2.1507144843762878,-0.30937547583875985,2.4059941827012064,0.6825690376891386
2009-11-04,2009-12-16,minutes,0.8268275257235362,0.03315303570890529,0.8322840166251533,0.1319044464933713
2009-12-16,2010-01-27,minutes,2.4456315884174677,0.889401914776925,2.0539411995244947,-0.10470450556003852
2010-01-27,2010-03-16,minutes,2.1160958121808475,0.5295057279887995,1.9473378335215472,0.08498492419465992
