date,meeting_date,doc_type,speaker_types,sharpe_positive,sharpe_negative,sharpe_net,sharpe_consensus
2011-11-02,2011-12-13,minutes,,0.006483652917643813,0.001793350807007863,0.0046903021106359495,7.81717018439325e-05
2011-11-02,2011-11-02,press_conferences,,0.009777901941611957,0.002514317642128789,0.007263584299483168,8.25407306759451e-05
2011-11-02,2011-11-02,speech,{'unknown'},0.008083623693379791,0.003554006968641115,0.004529616724738676,1.3561726720774479e-05
2011-12-13,2011-12-13,speech,{'unknown'},0.007609668755595345,0.004084601611459266,0.0035250671441360787,1.686634997194296e-05
2011-12-13,2012-01-25,minutes,,0.005939226519337017,0.0009668508287292818,0.004972375690607734,9.944751381215469e-05
2011-12-13,2011-12-13,statements,,0.011547344110854504,0.0,0.011547344110854504,0.0023094688221709007
2012-01-25,2012-03-13,minutes,,0.0064665572821156255,0.0005790946819805038,0.005887462600135122,8.065017260459072e-05
2012-01-25,2012-01-25,speech,{'unknown'},0.008674488267598602,0.0031827259111333,0.0054917623564653024,2.8904012402448958e-05
2012-01-25,2012-01-25,statements,,0.014218009478672985,0.0,0.014218009478672985,0.002369668246445498
2012-01-25,2012-01-25,press_conferences,,0.009439770162117792,0.0016416991586291811,0.007798071003488611,7.220436114341307e-05
2012-03-13,2012-03-13,statements,,0.011547344110854504,0.0,0.011547344110854504,0.0023094688221709007
2012-03-13,2012-03-13,speech,{'unknown'},0.010742786985880909,0.0019950890116635974,0.008747697974217311,0.0001053939514965941
2012-03-13,2012-04-25,minutes,,0.008786472148541113,0.0011604774535809018,0.007625994694960212,0.0001270999115826702
2012-04-25,2012-04-25,press_conferences,,0.010960757780784845,0.002976995940460081,0.007983761840324764,7.751225087693945e-05
2012-04-25,2012-06-20,minutes,,0.007487401007919367,0.00043196544276457883,0.007055435565154787,0.00012828064663917795
2012-04-25,2012-04-25,speech,{'unknown'},0.007980500845225459,0.0045602861972716905,0.0034202146479537683,1.0721676012394257e-05
2012-04-25,2012-04-25,statements,,0.013574660633484163,0.0,0.013574660633484163,0.0022624434389140274
2012-06-20,2012-08-01,minutes,,0.00824468085106383,0.0005319148936170213,0.007712765957446808,0.00011686009026434559
2012-06-20,2012-06-20,speech,{'unknown'},0.007654166466085784,0.002647667645501372,0.005006498820584413,2.339485430179632e-05
2012-06-20,2012-06-20,press_conferences,,0.007718696397941681,0.002001143510577473,0.005717552887364208,8.408166010829718e-05
2012-06-20,2012-06-20,statements,,0.01383399209486166,0.0,0.01383399209486166,0.001976284584980237
2012-08-01,2012-09-13,minutes,,0.006628369421122404,0.00162026808071881,0.005008101340403594,8.94303810786356e-05
2012-08-01,2012-08-01,speech,{'unknown'},0.011409308958900558,0.0016854660962012187,0.009723842862699339,9.627567190791424e-05
2012-08-01,2012-08-01,statements,,0.015184381778741865,0.0,0.015184381778741865,0.0021691973969631237
2012-09-13,2012-09-13,press_conferences,,0.011745992903462621,0.0009788327419552184,0.010767160161507403,0.00010353038616834041
2012-09-13,2012-09-13,statements,,0.021238938053097345,0.0,0.021238938053097345,0.0017699115044247787
2012-09-13,2012-09-13,speech,{'unknown'},0.011378002528445006,0.0018963337547408343,0.009481668773704172,9.030160736861116e-05
2012-09-13,2012-10-24,minutes,,0.009009009009009009,0.0015015015015015015,0.0075075075075075074,9.75000975000975e-05
2012-10-24,2012-10-24,speech,{'unknown'},0.007584014532243415,0.0037693006357856496,0.0038147138964577656,1.5258855585831064e-05
2012-10-24,2012-10-24,statements,,0.021739130434782608,0.0,0.021739130434782608,0.0018115942028985507
2012-10-24,2012-12-12,minutes,,0.00819145518792162,0.00032123353678124,0.00787022165114038,0.00014849474813472414
2012-12-12,2013-01-30,minutes,,0.006925795053003533,0.000989399293286219,0.005936395759717315,0.00010600706713780919
2012-12-12,2012-12-12,statements,,0.017391304347826087,0.0,0.017391304347826087,0.0014492753623188406
2012-12-12,2012-12-12,press_conferences,,0.0092551392720477,0.0012458841327756519,0.008009255139272047,6.787504355315294e-05
2012-12-12,2012-12-12,speech,{'unknown'},0.007369653557407535,0.0022040085405330948,0.00516564501687444,1.85814568952318e-05
2013-01-30,2013-01-30,speech,{'unknown'},0.005189028910303929,0.003459352606869286,0.001729676303434643,2.4709661477637757e-05
2013-01-30,2013-01-30,statements,,0.01694915254237288,0.0,0.01694915254237288,0.0015408320493066256
2013-01-30,2013-03-20,minutes,,0.007345926349933219,0.0011448196908986834,0.006201106659034536,6.967535571948916e-05
2013-03-20,2013-03-20,statements,,0.015455950540958269,0.0,0.015455950540958269,0.0015455950540958269
2013-03-20,2013-03-20,speech,{'unknown'},0.007620969473187068,0.004057361212485509,0.0035636082607015587,6.550750479230807e-06
2013-03-20,2013-03-20,press_conferences,,0.009397841977027498,0.005105000580113702,0.004292841396913795,3.434273117531036e-05
2013-03-20,2013-05-01,minutes,,0.008029299901394563,0.0012677841949570363,0.006761515706437527,0.00010244720767329585
2013-05-01,2013-05-01,speech,{'unknown'},0.00923033229196251,0.0044731610337972166,0.004757171258165294,1.2324277870894545e-05
2013-05-01,2013-05-01,statements,,0.014858841010401188,0.0,0.014858841010401188,0.0014858841010401188
2013-05-01,2013-06-19,minutes,,0.007977544689023489,0.0007386615452799527,0.007238883143743537,0.00012269293463972096
2013-06-19,2013-07-31,minutes,,0.007719123505976096,0.0011205179282868527,0.006598605577689243,9.293810672801751e-05
2013-06-19,2013-06-19,press_conferences,,0.009884678747940691,0.0005491488193300384,0.009335529928610654,9.826873609063846e-05
2013-06-19,2013-06-19,speech,{'unknown'},0.007942556861486622,0.0026876328773717357,0.005254923984114887,1.9829901826848627e-05
2013-06-19,2013-06-19,statements,,0.014265335235378032,0.0,0.014265335235378032,0.0014265335235378032
2013-07-31,2013-09-18,minutes,,0.0073937153419593345,0.0012796815014929617,0.006114033840466373,0.00010023006295846512
2013-07-31,2013-07-31,statements,,0.014204545454545454,0.0,0.014204545454545454,0.0014204545454545455
2013-07-31,2013-07-31,speech,{'unknown'},0.009055236945366738,0.0030787805614246907,0.005976456383942046,2.973361385045794e-05
2013-09-18,2013-09-18,statements,,0.014962593516209476,0.0,0.014962593516209476,0.0012468827930174563
2013-09-18,2013-09-18,press_conferences,,0.010127747727011164,0.0012659684658763955,0.008861779261134769,8.951292182964412e-05
2013-09-18,2013-10-30,minutes,,0.007129616426636247,0.0014259232853272494,0.005703693141308998,9.506155235514996e-05
2013-10-30,2013-10-30,statements,,0.014102564102564103,0.0,0.014102564102564103,0.001282051282051282
2013-10-30,2013-10-30,speech,{'unknown'},0.008226843731729725,0.002881483337509396,0.005345360394220329,2.0095339827895973e-05
2013-10-30,2013-12-18,minutes,,0.007062899786780384,0.00026652452025586353,0.006796375266524521,0.0001235704593913549
2013-12-18,2013-12-18,press_conferences,,0.008438818565400843,0.0018643901481699538,0.00657442841723089,6.261360397362752e-05
2013-12-18,2014-01-29,minutes,,0.007074637424831978,0.0010611956137247967,0.006013441811107181,8.715133059575623e-05
2013-12-18,2013-12-18,statements,,0.011350737797956867,0.0,0.011350737797956867,0.0011350737797956867
2013-12-18,2013-12-18,speech,{'unknown'},0.00767859092397831,0.002037919866079552,0.0056406710578987595,2.1126108831081493e-05
2014-01-29,2014-03-19,minutes,,0.005222841225626741,0.0008704735376044568,0.004352367688022284,6.21766812574612e-05
2014-01-29,2014-01-29,statements,,0.011848341232227487,0.0,0.011848341232227487,0.001184834123222749
