date,meeting_date,doc_type,speaker_types,gardner_inf,gardner_labor,gardner_out,gardner_fin,gardner_mp,gardner_total,gardner_inf_consensus,gardner_labor_consensus,gardner_out_consensus,gardner_fin_consensus,gardner_mp_consensus
2005-09-20,2005-09-20,speech,{'unknown'},8.232080013610333e-06,-1.6464160027220664e-06,1.6464160027220665e-05,0.0,0.0,2.304982403810893e-05,4.100915324300384e-05,4.6477040342071015e-05,4.100915324300384e-05,0.0,0.0
2005-11-01,2005-11-01,speech,{'unknown'},1.0659874009137681e-05,1.844978193889214e-06,1.2299854625928093e-05,-2.459970925185619e-06,2.0499757709880154e-07,2.2549733480868172e-05,1.3491628185256661e-05,1.078972386698908e-05,6.772770392698773e-06,3.47668880158537e-05,3.47668880158537e-05
2005-12-13,2005-12-13,speech,{'unknown'},0.0,1.9254635488410675e-07,1.540370839072854e-06,-2.8881953232616013e-06,0.0,-1.1552781293046404e-06,0.0,3.031313468125739e-06,2.222963209958875e-06,3.334444814938313e-05,0.0
2006-01-31,2006-01-31,speech,{'unknown'},-8.044054385812405e-06,2.413216315743722e-05,0.00010055067982265508,0.0,0.0,0.00011663878859427989,5.0581689428426914e-05,0.00025290844714213456,0.00018064889081581038,0.0,0.0
2006-03-28,2006-03-28,speech,{'unknown'},7.762955277967443e-06,9.026692183683074e-07,-3.6106768734732297e-07,-3.0690753424522454e-06,1.8053384367366148e-07,5.416015310209843e-06,9.472680129621511e-06,6.944077951441452e-06,3.8027093543607946e-07,3.1942758576630676e-05,3.1942758576630676e-05
2006-05-10,2006-05-10,speech,{'unknown'},1.4355039573124263e-06,1.1745032378010763e-06,7.960521945096183e-06,-2.3490064756021525e-06,0.0,8.221522664607532e-06,1.1320366368220645e-05,2.1050268040079712e-05,8.392590525783414e-06,2.5728105382319646e-05,0.0
2006-06-29,2006-06-29,speech,{'unknown'},6.012917295082705e-06,-1.1563302490543663e-07,1.1910201565259973e-05,-2.543926547919606e-06,0.0,1.5263559287517635e-05,8.570946337964281e-06,1.5823285547010982e-06,1.1697117784752138e-05,2.3734928320516473e-05,0.0
2006-08-08,2006-08-08,speech,{'unknown'},-6.544834156781002e-06,1.4544075903957783e-06,1.2362464518364117e-05,-1.4544075903957783e-06,7.272037951978891e-07,6.5448341567810036e-06,2.9112081513828238e-05,2.0216723273491833e-05,1.2612267730251786e-05,8.086689309396733e-05,8.086689309396733e-05
2006-09-20,2006-09-20,speech,{'unknown'},1.7416369634837214e-06,4.354092408709304e-06,3.9186831678383734e-05,-1.7416369634837214e-06,0.0,4.354092408709303e-05,3.039698461912578e-05,9.119095385737735e-05,5.4714572314426405e-05,9.119095385737735e-05,0.0
2006-10-25,2006-10-25,speech,{'unknown'},7.893430206595336e-06,4.857495511750975e-06,1.5483266943706232e-05,-1.5179673474221798e-06,0.0,2.6716225314630366e-05,1.8942760805387903e-05,4.015217674988205e-05,1.706467511869987e-05,3.226514203115522e-05,0.0
2006-12-12,2006-12-12,speech,{'unknown'},1.1256329304100895e-05,2.8617786366358205e-06,8.203765425022686e-06,-9.539262122119402e-07,1.9078524244238805e-07,2.155873239598985e-05,1.3465815657548331e-05,1.4183123029136862e-05,6.4978995917354575e-06,2.363853838189477e-05,3.309395373465268e-05
2007-01-31,2007-01-31,speech,{'unknown'},5.98798794535567e-06,2.281138264897398e-06,1.3686829589384388e-05,-6.273130228467844e-06,0.0,1.5682825571169614e-05,1.596070929392102e-05,1.4440641742119019e-05,1.0718826860129582e-05,3.97117647908273e-05,0.0
2007-03-21,2007-03-21,speech,{'unknown'},1.2313460513754765e-05,0.0,9.850768411003813e-06,-2.2388110025008666e-06,2.2388110025008667e-07,2.01492990225078e-05,1.648678089907512e-05,0.0,1.0014192842401184e-05,3.687043728338618e-05,3.687043728338618e-05
2007-05-09,2007-05-09,speech,{'unknown'},1.8832794925080468e-05,2.073335221109776e-06,1.157612165119625e-05,-3.6283366369421086e-06,0.0,2.8853915160444387e-05,1.4895651180473523e-05,5.816478471274352e-06,9.85033952797173e-06,3.102121851346321e-05,0.0
2007-06-28,2007-06-28,speech,{'unknown'},4.187498945194394e-06,1.7765147040218643e-06,-2.537878148602663e-07,-6.344695371506658e-07,0.0,5.075756297205327e-06,8.590848351481284e-06,1.606938300456141e-05,2.2956261435087726e-07,2.52518875785965e-05,0.0
2007-08-07,2007-08-07,speech,{'unknown'},2.3820304602418903e-05,-7.683969226586741e-07,6.147175381269393e-06,-3.0735876906346963e-06,7.683969226586741e-07,2.6893892293053594e-05,5.3074921243665256e-05,8.389261744966443e-05,2.7964205816554807e-05,8.389261744966443e-05,8.389261744966443e-05
2007-09-18,2007-09-18,speech,{'unknown'},4.221527313924359e-06,1.6886109255697435e-06,5.910138239494102e-06,-1.139812374759577e-05,0.0,4.221527313924349e-07,2.555205208530297e-05,5.621451458766653e-05,5.390432905666653e-06,5.621451458766653e-05,0.0
2007-10-31,2007-10-31,speech,{'unknown'},4.49714193204869e-06,1.4990473106828967e-06,-1.7296699738648805e-06,-8.071793211369444e-06,0.0,-3.8052739425027373e-06,5.1469867230178125e-06,1.0589777280691821e-05,1.5890145281479622e-06,2.234641151746819e-05,0.0
2007-12-11,2007-12-11,speech,{'unknown'},4.71145995906388e-06,2.3557299795319403e-07,7.06718993859582e-06,-5.182605954970268e-06,0.0,6.831616940642628e-06,8.47626434077973e-06,3.467562684864436e-06,1.0037681456186524e-05,3.814318953350879e-05,0.0
2008-01-30,2008-01-30,speech,{'unknown'},1.8281171747877594e-05,-6.770804351065775e-07,-2.0312413053197323e-05,-1.7604091312771017e-05,0.0,-2.0312413053197323e-05,5.6267231839750924e-05,8.567438592883885e-06,2.965651820613653e-05,7.710694733595497e-05,0.0
2008-03-18,2008-03-18,speech,{'unknown'},1.6092124836318445e-05,-8.77752263799188e-07,-8.046062418159222e-06,-7.899770374192693e-06,0.0,-7.314602198326556e-07,1.623852084199388e-05,6.938277087033748e-06,5.985964545676175e-06,2.7753108348134992e-05,0.0
2008-04-30,2008-04-30,speech,{'unknown'},1.1425280299320228e-05,2.0773236907854959e-07,7.893830024984884e-06,-1.1840745037477327e-05,0.0,7.686097655906333e-06,1.2775812367450946e-05,3.8972680151214e-06,9.946758665459095e-06,3.173489669455997e-05,0.0
2008-06-25,2008-06-25,speech,{'unknown'},8.39334596284222e-06,3.996831410877247e-07,4.556387808400062e-06,-6.874550026708865e-06,0.0,6.474866885621141e-06,9.060202456695468e-06,2.378441426360837e-06,3.609061631945489e-06,1.855184312561453e-05,0.0
2008-08-05,2008-08-05,speech,{'unknown'},9.900962555561177e-06,1.4668092674905447e-06,1.5034794991778083e-05,-2.200213901235817e-05,0.0,4.400427802471633e-06,1.9482642048303965e-05,1.4637752226768056e-05,1.7953140551634326e-05,5.12321327936882e-05,0.0
2008-09-16,2008-09-16,speech,{'unknown'},2.837187166915657e-06,0.0,1.7968852057132493e-05,-1.5131664890216838e-05,0.0,5.674374333831314e-06,4.129216962823283e-05,0.0,4.257254698104626e-05,9.634839579920994e-05,0.0
2008-10-29,2008-10-29,speech,{'unknown'},1.6091378282965496e-06,-2.4137067424448244e-06,-2.4137067424448244e-06,-4.1033014621562016e-05,0.0,-4.425129027815511e-05,9.611687812379853e-06,3.7073652990608006e-05,3.555007821017206e-06,8.650519031141868e-05,0.0
